text,label
"Glas auf dem Radweg bei der Kreuzung","Hindernis"
"Scherben liegen auf dem Radweg","Hindernis"
"Ein Ast blockiert den Radweg","Hindernis"
"Steine am Weg, man rutscht leicht","Hindernis"
"Schlagloch direkt auf der Radspur","Hindernis"
"Obstacle on the bike lane","Hindernis"
"Broken glass on the cycle path","Hindernis"
"Debris and stones on the road","Hindernis"
"A branch is blocking the path","Hindernis"
"Pothole on the bike lane","Hindernis"

"Radwegmarkierung ist kaum sichtbar","Infrastrukturproblem"
"Der Radweg endet plötzlich ohne Hinweis","Infrastrukturproblem"
"Baustelle blockiert die Radspur ohne Umleitung","Infrastrukturproblem"
"Straße ist sehr uneben, viele Risse","Infrastrukturproblem"
"Beschilderung für Radfahrer fehlt","Infrastrukturproblem"
"Infrastructure issue on the cycle lane","Infrastrukturproblem"
"Bike lane markings are missing","Infrastrukturproblem"
"Construction blocks the lane without detour","Infrastrukturproblem"
"Road surface is damaged and uneven","Infrastrukturproblem"
"Missing sign for cyclists","Infrastrukturproblem"

"Beinahe-Unfall: Auto hat mich geschnitten","Gefahrenstelle"
"An der Kreuzung ist es sehr unübersichtlich","Gefahrenstelle"
"Auto überholt viel zu knapp","Gefahrenstelle"
"Bus hat mich fast angefahren","Gefahrenstelle"
"Gefährliche Stelle: schlechte Sicht beim Abbiegen","Gefahrenstelle"
"Near miss with a car turning right","Gefahrenstelle"
"Almost hit at the intersection","Gefahrenstelle"
"Close pass by a vehicle","Gefahrenstelle"
"Dangerous crossing, poor visibility","Gefahrenstelle"
"Almost crashed because a car cut me off","Gefahrenstelle"

"Danke, der neue Radweg ist super","Positives Feedback"
"Sehr gute Markierungen, fühlt sich sicher an","Positives Feedback"
"Top! Endlich ist die Baustelle weg","Positives Feedback"
"Radweg wurde verbessert, danke","Positives Feedback"
"Super Beleuchtung, man sieht viel besser","Positives Feedback"
"Great improvement, the bike lane is much better now","Positives Feedback"
"Thanks, the path feels safer","Positives Feedback"
"Nice markings and smooth surface","Positives Feedback"
"Good job fixing the road","Positives Feedback"
"Love the new cycle lane","Positives Feedback"

"Buy now free promo http://spam.com","Spam"
"www.super-deal.com limited offer","Spam"
"Click here to win money","Spam"
"FREE coupon for you!!!","Spam"
"Visit http://example.com for promo","Spam"
"Get rich fast buy now","Spam"
"Cheap products, best price www.shop.com","Spam"
"Promo code inside, click now","Spam"
"Follow my channel and buy","Spam"
"Limited offer!!! http link","Spam"

Glasscherben auf dem Radweg,Hindernis
Großer Ast blockiert die Fahrbahn,Hindernis
Müllcontainer steht mitten auf dem Radweg,Hindernis
Steinbrocken nach Bauarbeiten liegen rum,Hindernis
Umgestürzter Baum versperrt den Weg,Hindernis
"Scherben bei der Kreuzung, Mariahilfer Straße",Hindernis
"Hindernis: Container auf Radweg seit 3 Tagen",Hindernis
Achtung Glasflaschen auf dem Weg zur Donauinsel,Hindernis
Broken glass near the bike lane,Hindernis
Large branch blocking the path,Hindernis
Construction debris on cycle path,Hindernis
Pothole in the middle of bike lane,Hindernis
Müll auf dem Radweg bei der Oper,Hindernis
Große Pfütze blockiert kompletten Radweg,Hindernis
Bauschutt liegt auf der Fahrbahn,Hindernis
Eisplatten auf dem Radweg sehr gefährlich,Hindernis
Öl auf der Straße beim Praterstern,Hindernis
Kaputte Palette mitten am Radweg,Hindernis
Sand und Kies überall verstreut,Hindernis
Nägel auf dem Radweg entdeckt,Hindernis
Metallteile liegen am Fahrradstreifen,Hindernis
Zerbrochene Flasche beim Gürtel,Hindernis
Holzbretter blockieren den Weg,Hindernis
Autoreifen liegt auf Radweg,Hindernis
Steine von Baustelle nicht weggeräumt,Hindernis
Matsch und Schlamm nach Regen,Hindernis
"Laub komplett nass, sehr rutschig",Hindernis
Broken bottles everywhere,Hindernis
Metal scraps on bike path,Hindernis
Tree fell down blocking route,Hindernis
Construction material not cleared,Hindernis
Oil spill on cycling lane,Hindernis
Nails scattered on the path,Hindernis
Large puddle blocking way,Hindernis
Debris from truck accident,Hindernis
Radweg ist sehr schlecht markiert,Infrastrukturproblem
"Schlagloch auf der Ringstraße, beim Burgtheater",Infrastrukturproblem
Radwegende ist nicht klar ersichtlich,Infrastrukturproblem
Keine Beschilderung bei der Abzweigung,Infrastrukturproblem
Radweg total holprig und uneben,Infrastrukturproblem
Ampelschaltung für Radfahrer zu kurz,Infrastrukturproblem
Baustelle ohne Umleitung für Radfahrer,Infrastrukturproblem
"Radstreifen zu schmal, wird von Autos befahren",Infrastrukturproblem
Bike lane markings are fading,Infrastrukturproblem
Missing sign for cyclists,Infrastrukturproblem
Road surface is damaged and uneven,Infrastrukturproblem
No dedicated bike lane here,Infrastrukturproblem
Bordstein viel zu hoch beim Radweg,Infrastrukturproblem
Fehlende Ampel für Radfahrer,Infrastrukturproblem
Radweg endet plötzlich ohne Hinweis,Infrastrukturproblem
Straßenbelag komplett kaputt,Infrastrukturproblem
Keine Beleuchtung am Radweg nachts,Infrastrukturproblem
Fahrbahnmarkierung komplett weg,Infrastrukturproblem
Radweg viel zu eng dimensioniert,Infrastrukturproblem
"Grünphase nur 5 Sekunden, zu kurz",Infrastrukturproblem
Fehlende Ausschilderung bei Baustelle,Infrastrukturproblem
Radwegoberfläche sehr rissig,Infrastrukturproblem
Absenkung fehlt komplett am Gehsteig,Infrastrukturproblem
Bordsteinabsenkung viel zu steil,Infrastrukturproblem
"Kein Radweg, trotz genug Platz",Infrastrukturproblem
Straßenschäden seit Monaten nicht repariert,Infrastrukturproblem
"Radfahrerampel defekt, zeigt nichts an",Infrastrukturproblem
Abbiege-Markierung fehlt komplett,Infrastrukturproblem
Verkehrszeichen verdeckt durch Baum,Infrastrukturproblem
Fehlende Trennung zwischen Radweg und Gehweg,Infrastrukturproblem
Traffic light broken for bikes,Infrastrukturproblem
"Curb too high, no ramp",Infrastrukturproblem
Road surface very damaged,Infrastrukturproblem
No bike lane marking visible,Infrastrukturproblem
Sign missing at intersection,Infrastrukturproblem
Pavement completely broken,Infrastrukturproblem
Gefährliche Kreuzung ohne Sicht,Gefahrenstelle
Autos fahren hier viel zu schnell,Gefahrenstelle
Beinahe-Unfall wegen schlechter Sicht,Gefahrenstelle
Kreuzung sehr unübersichtlich bei Nacht,Gefahrenstelle
"Close pass, Auto kam mir sehr nahe",Gefahrenstelle
Rechtsabbieger schneiden oft den Radweg,Gefahrenstelle
"Tür wurde plötzlich aufgemacht, knapp",Gefahrenstelle
Sehr gefährliche Stelle beim Gürtel,Gefahrenstelle
Near miss with a car turning right,Gefahrenstelle
"Dangerous crossing, poor visibility",Gefahrenstelle
Car door opened right in front of me,Gefahrenstelle
Almost hit at the intersection,Gefahrenstelle
Auto hat mich fast touchiert,Gefahrenstelle
"Sehr gefährliche Einmündung, keine Sicht",Gefahrenstelle
LKW viel zu nah überholt,Gefahrenstelle
Taxi hat rote Ampel ignoriert,Gefahrenstelle
Kreuzung ohne Vorrang für Radfahrer,Gefahrenstelle
"Extrem enge Kurve, sehr gefährlich",Gefahrenstelle
Scharfe Rechtskurve nicht einsehbar,Gefahrenstelle
Abbiegen ohne zu schauen passiert hier oft,Gefahrenstelle
Blind spot sehr gefährlich für Radler,Gefahrenstelle
Autofahrer schauen nie nach rechts,Gefahrenstelle
Schnellstraße direkt neben Radweg,Gefahrenstelle
Zu wenig Abstand beim Überholen,Gefahrenstelle
Gefährliche Stelle ohne Warnung,Gefahrenstelle
Fast von Bus abgedrängt worden,Gefahrenstelle
Autofahrer übersehen Radfahrer hier immer,Gefahrenstelle
Keine Sichtlinie bei Kreuzung,Gefahrenstelle
Sehr steile Abfahrt ohne Bremsmöglichkeit,Gefahrenstelle
Gegenverkehr kommt auf Radweg,Gefahrenstelle
Parked car door almost hit me,Gefahrenstelle
Truck passing too close,Gefahrenstelle
Blind corner very dangerous,Gefahrenstelle
No visibility at junction,Gefahrenstelle
Cars ignore bike priority,Gefahrenstelle
Neuer Radweg ist super,Positives Feedback
"Endlich wurde die Kreuzung verbessert, danke",Positives Feedback
Toll dass hier jetzt Markierungen sind,Positives Feedback
Gute Ampelschaltung für Radfahrer hier,Positives Feedback
"Perfekter Radweg, mehr davon bitte",Positives Feedback
Danke für die neue Beschilderung,Positives Feedback
Super breiter und sicherer Radweg hier,Positives Feedback
Love the new bike lane,Positives Feedback
Great improvement at this crossing,Positives Feedback
Thanks for fixing the road surface,Positives Feedback
Nice smooth surface on the bike lane now,Positives Feedback
Good job on the new markings,Positives Feedback
Endlich sichere Querung hier,Positives Feedback
Super dass hier investiert wurde,Positives Feedback
Viel besser als vorher danke,Positives Feedback
Tolle Verbesserung beim Praterstern,Positives Feedback
Neue Ampel funktioniert perfekt,Positives Feedback
Radweg wurde sehr gut saniert,Positives Feedback
Endlich gute Beleuchtung am Abend,Positives Feedback
Perfekte Beschilderung jetzt,Positives Feedback
Danke für die breite Radspur,Positives Feedback
Sehr gute Oberflächenqualität,Positives Feedback
Kreuzung jetzt viel sicherer,Positives Feedback
Super Radwegführung hier,Positives Feedback
Endlich wurde hier was gemacht,Positives Feedback
Tolle neue Infrastruktur,Positives Feedback
Radfahren macht hier jetzt Spaß,Positives Feedback
Sichere und komfortable Strecke,Positives Feedback
Vorbildliche Umsetzung,Positives Feedback
Gute Arbeit von der Stadt,Positives Feedback
Excellent new bike infrastructure,Positives Feedback
Finally safe to cycle here,Positives Feedback
Well done on the improvements,Positives Feedback
Perfect bike lane design,Positives Feedback
Werbung für Fahrräder,Spam
Buy cheap bikes now at www.fakebikes.com,Spam
Click here for free cycling gear,Spam
Tolle Angebote nur heute,Spam
Gratis Fahrradhelm bei jedem Kauf,Spam
Limited offer Get 50 percent discount,Spam
Klicke hier für Rabatt,Spam
Abonniere meinen Kanal für Tipps,Spam
Subscribe to my channel for cycling tips,Spam
Gewinnspiel E-Bike zu gewinnen,Spam
WIN a FREE bike now click here,Spam
Exklusiver Rabatt jetzt klicken,Spam
Best bike deals http://super-deals.com,Spam
Kostenlose Versicherung für dein Rad,Spam
Follow me for promo codes,Spam
Folge mir für Promo-Codes,Spam
Exclusive discount click www.sale.net,Spam
Beste Fahrrad-Deals des Jahres,Spam
50 Prozent Rabatt auf alles nur heute,Spam
Klicke hier für Gutscheine www.fake.at,Spam
Gewinne ein Fahrrad jetzt mitmachen,Spam
Free shipping on all bikes,Spam
Kostenlose E-Bike Probefahrt,Spam
Abonniere für exklusive Angebote,Spam
Fahrrad-Sale bis zu 70 Prozent Rabatt,Spam
Gratis Zubehör beim Kauf,Spam
Super Angebot nur 3 Tage,Spam
Spare jetzt 100 Euro auf E-Bikes,Spam
Mega Sale www.bikeshop.com,Spam
Nimm an Umfrage teil gewinne Fahrrad,Spam
Registriere dich für Newsletter Rabatt,Spam
Limitiertes Angebot heute,Spam
Kaufe 1 bekomme 1 gratis,Spam
Verpasse nicht unseren Sale,Spam
Einmalige Chance jetzt zugreifen,Spam
Premium Bikes zum Schnäppchenpreis,Spam
Folge uns auf Instagram für Deals,Spam
Like und teile für Gewinnchance,Spam
Exklusive Mitglieder bekommen 40 Prozent,Spam
Werde Teil unserer Community,Spam
Kostenloser Versand Code BIKE2024,Spam
Melde dich an spare 20 Prozent,Spam
Black Friday Angebote www.spam.de,Spam
Cyber Monday Bike Deals,Spam
Clearance Sale alles muss raus,Spam
Beste Preise garantiert oder Geld zurück,Spam
Finanzierung ab 0 Prozent,Spam
Jetzt bestellen morgen liefern,Spam
"Top bewertet auf Trustpilot, klick hier",Spam
Revolutionäres E-Bike für 999 Euro,Spam
Premium Qualität Discountpreis,Spam
Liquidation Sale 80 Prozent Rabatt,Spam
VIP Zugang exklusive Angebote,Spam
Early Bird Special nur für dich,Spam
"Achtung, letztes Exemplar",Spam
Heute bestellen 50 Euro sparen,Spam
Flash Sale endet in 2 Stunden,Spam
Sichere dir deinen Gutschein,Spam
Gratis Upgrade beim Kauf,Spam
Bonuspunkte beim Einkauf sammeln,Spam
"Empfehle uns, erhalte 30 Euro",Spam
"Kostenlos testen, keine Kreditkarte nötig",Spam
"Jetzt kaufen, später zahlen",Spam
"Beste Bewertungen, super Preise",Spam
"Nur noch 3 Stück verfügbar!",Spam
"Schnell sein, Angebot läuft ab",Spam
"Gratis Lieferung, keine Versandkosten",Spam
"Premium E-Bikes, halber Preis",Spam
"Mega Rabatt, nur heute gültig",Spam
"Abonniere Newsletter, spare 25%",Spam
"Click now, limited stock available",Spam
"Buy 2 get 1 free, amazing deal",Spam
"Discount code inside, hurry up",Spam
"Free trial, no credit card needed",Spam
"Flash sale, 70% off everything",Spam
"Best deals ever, click here now",Spam
"Win amazing prizes, enter now",Spam
"Subscribe and get free shipping",Spam
"Premium quality, bargain prices",Spam
"Limited time offer, don't miss out",Spam